domain,subject_area,question
Hard Sciences,Physics,What is gravity?
Hard Sciences,Physics,Why do things fall down?
Hard Sciences,Physics,How does a magnet work?
Hard Sciences,Physics,What is light made of?
Hard Sciences,Physics,Why is the sky blue?
Hard Sciences,Physics,How do airplanes fly?
Hard Sciences,Physics,What makes a rainbow?
Hard Sciences,Physics,Why do we have day and night?
Hard Sciences,Physics,How do boats float?
Hard Sciences,Physics,What is energy?
Hard Sciences,Physics,How does sound travel?
Hard Sciences,Physics,Why do some objects sink?
Hard Sciences,Physics,How does a rocket launch?
Hard Sciences,Physics,What is electricity?
Hard Sciences,Physics,Why does the moon change shape?
Hard Sciences,Physics,How do we make electricity?
Hard Sciences,Physics,Why do we have seasons?
Hard Sciences,Physics,What is friction?
Hard Sciences,Physics,How do mirrors work?
Hard Sciences,Physics,Why do we see lightning before thunder?
Hard Sciences,Physics,How does a seesaw work?
Hard Sciences,Physics,What is an atom?
Hard Sciences,Physics,How do glasses help us see?
Hard Sciences,Physics,What is heat?
Hard Sciences,Physics,How does a compass work?
Hard Sciences,Physics,Why does ice melt?
Hard Sciences,Physics,What is a black hole?
Hard Sciences,Physics,How do solar panels work?
Hard Sciences,Physics,What is a shadow?
Hard Sciences,Physics,How do we measure time?
Hard Sciences,Physics,Why do metals feel cold?
Hard Sciences,Physics,How do lenses work?
Hard Sciences,Physics,What is refraction?
Hard Sciences,Physics,Why do balloons float?
Hard Sciences,Physics,How does a thermometer work?
Hard Sciences,Physics,What makes things glow?
Hard Sciences,Physics,Why does the sun shine?
Hard Sciences,Physics,How does a wind turbine work?
Hard Sciences,Physics,What is inertia?
Hard Sciences,Physics,How do parachutes slow you down?
Hard Sciences,Physics,What is a force?
Hard Sciences,Physics,How does a pendulum swing?
Hard Sciences,Physics,Why do stars twinkle?
Hard Sciences,Physics,How do batteries work?
Hard Sciences,Physics,What is a laser?
Hard Sciences,Physics,Why do magnets have poles?
Hard Sciences,Physics,How does a car engine work?
Hard Sciences,Physics,What is a vacuum?
Hard Sciences,Physics,What is momentum?
Hard Sciences,Physics,Why do we have tides?
Hard Sciences,Physics,How does a camera capture pictures?
Hard Sciences,Physics,Why do we feel heat from the sun?
Hard Sciences,Physics,What is a circuit?
Hard Sciences,Physics,How does static electricity happen?
Hard Sciences,Physics,How do we hear sounds?
Hard Sciences,Physics,What is a prism?
Hard Sciences,Physics,Why do objects have color?
Hard Sciences,Physics,How do radios work?
Hard Sciences,Physics,What is potential energy?
Hard Sciences,Physics,How does a bicycle stay upright?
Hard Sciences,Physics,What is kinetic energy?
Hard Sciences,Physics,Why does the wind blow?
Hard Sciences,Physics,How do sunglasses protect our eyes?
Hard Sciences,Physics,What is buoyancy?
Hard Sciences,Physics,How does a light bulb work?
Hard Sciences,Physics,What is a wave?
Hard Sciences,Physics,How do microwaves heat food?
Hard Sciences,Physics,What is a spectrum?
Hard Sciences,Physics,Why do we have gravity on Earth?
Hard Sciences,Physics,How do airplanes stay in the sky?
Hard Sciences,Physics,What is the speed of light?
