domain,subject_area,question
Professional/Other (Complex),professional_law,"A witness is scheduled to testify in a criminal case. To prove that he was a juvenile on a given date, evidence is offered that on that date he was confined in a juvenile detention facility. If a party wished to argue that this evidence is hearsay, whom would he point to as the hearsay declarant?"
Professional/Other (Complex),professional_law,"A retiree, advancing in age, realizes that he is no longer able to farm his 1,000 acres and therefore decides to sell some of the farmland in parcels of 250 acres. The president of a development company is interested in purchasing three of the four parcels. The president buys the three parcels from the retiree and begins formulating plans for constructing single- family dwelling units. The original deed between the retiree and the development company contains a provision expressly binding ""upon all subsequent grantees, their heirs, and assigns,"" stipulating that any further subdivisions by any such persons shall be restricted to minimum two-acre lots to be used for single-family dwelling units only. The development company immediately subdivided two of the parcels into lots of three, four, and five acres, and began construction of homes thereon. The original deed restrictions were enumerated within the special warranty deeds and were given to the purchasers of the homes in the new development, called tract I. Two years later, the president sold the remaining 250-acre parcel, which had not been included in the tract 1 subdivision plan, to a contractor. The deed between the president and the contractor included the same restriction as was in the original deed between the retiree and the president. The contractor, in turn, drafted a subdivision plan for the last 250-acre parcel, dividing it into one-acre lots. The contractor then commenced construction of single- family dwelling units in the new development, to be known as tract 2. There was no mention of the restriction for two-acre minimum lots in the deeds to the purchasers of the new homes in tract 2. In a subsequent action to enjoin the contractor from subdividing the parcel into one-acre lots by any of the present owners of lots in the tract 1 development, the most probable judicial determination would be"
STEM (Complex),high_school_computer_science,"Consider the following instance variable and methods in the same class.
 private int[][] matrix;
 /** Precondition: array.length > 0.
 * @return the largest integer in array
 */
 private int max(int[] array)
 { /* implementation not shown */ }
 /** @return num1 if num1 >= num2; otherwise return num2
 */
 public int max(int num1, int num2)
 { /* implementation not shown */ }
 Suppose matrix has a current value of
 2 1 4 8
 6 0 3 9
 5 7 7 6
 1 2 3 4
 What will be returned by the following method call in the same class?
 max(max(matrix[2]), max(matrix[3]))"
Professional/Other (Complex),professional_law,"A defendant charged with homicide had a long and tortured history of mental illness. He related several outrageous paranoid fantasies to the authorities and was sent to a mental hospital for evaluation of his ability to stand trial. The doctors reported that the only hope to restore the defendant to relative normalcy where he could stand trial was to administer widely-used anti-psychotic medicine. The man was also a danger to himself and others, and the medicine was in his medical best interests. The defendant asserted that the administration of drugs against his will would violate his liberty interest to substantive due process. Will the court likely order that the defendant should be involuntarily administered the anti-psychotic medications?"
STEM (Complex),high_school_chemistry,"Neutral atoms of chlorine are bombarded by high-energy photons, causing the ejection of electrons from the various filled subshells. Electrons originally from which subshell would have the highest velocity after being ejected?"
Professional/Other (Complex),professional_medicine,"A 4-year-old boy is brought to the physician because of temperatures to 39.4°C (102.9°F) for 8 days. Examination shows anterior cervical lymphadenopathy, nonexudative conjunctivitis bilaterally, a strawberry tongue, an erythematous truncal rash, and edema of the hands and feet. Which of the following is the most appropriate pharmacotherapy to prevent complications of this illness?"
Professional/Other (Complex),moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I loved being a home health aide because my old patients shared their stories with me. Scenario 2 | I helped him in academics by typing his written paper."
Professional/Other (Complex),professional_law,"A plaintiff filed an action in federal district court and served the defendant with the summons and complaint. The defendant moved to dismiss the complaint for failure to state a claim. Instead of opposing the motion to dismiss, the plaintiff voluntarily dismissed the action and filed a new action, alleging the same claims but also addressing the pleading defects outlined in the defendant's motion to dismiss. The defendant then moved to dismiss the second action, and the plaintiff again voluntarily dismissed the second action instead of filing opposition papers. The plaintiff then filed a third action, alleging the same claims but also including additional allegations that were responsive to the defendant's second motion. The defendant has moved to dismiss the third action; the plaintiff opposes the motion. Is the court likely to grant the defendant's motion?"
Professional/Other (Complex),professional_medicine,"A 13-month-old child is brought to the emergency department because of urticaria, swelling of the lips, and difficulty breathing immediately after eating an egg. A potential risk for hypersensitivity reaction is posed by vaccination against which of the following illnesses?"
Professional/Other (Complex),professional_medicine,"A 65-year-old woman has a 6-month history of progressive irritability, palpitations, heat intolerance, frequent bowel movements, and a 6.8-kg (15-lb) weight loss. She has had a neck mass for more than 10 years. 131I scan shows an enlarged thyroid gland with multiple areas of increased and decreased uptake. Which of the following is the most likely diagnosis?"
